Location,White,Black,Hispanic,Asian
Alabama,3139500,1304600,174600,N/A
Alaska,410800,24200,43600,52200
Arizona,3460100,287800,2462800,215000
Arkansas,2179700,452200,200900,49900
California,15175500,2236400,14747200,5773700
Colorado,3759800,216000,1138200,149600
Connecticut,2508500,307200,540300,153700
Delaware,607900,200100,96000,37900
District of Columbia,247600,311100,71700,31700
Florida,10840500,3178500,5248300,493200
Georgia,5247800,3130400,1029800,464900
Hawaii,261500,32400,141300,541500
Idaho,1385900,10300,212000,21100
Illinois,8061000,1685900,2029600,779100
Indiana,5201700,592100,521100,116700
Iowa,2636100,101400,234900,75600
Kansas,2134300,139500,354400,83600
Kentucky,3735000,327800,147200,N/A
Louisiana,2679500,1471500,239400,94600
Maine,1226400,N/A,27700,31900
Maryland,2979700,1755600,663400,326400
Massachusetts,4974400,500500,738400,471800
Michigan,7450000,1361200,541000,309800
Minnesota,4467700,332200,289500,182600
Mississippi,1647200,1109900,74100,N/A
Missouri,4773500,681400,268000,98000
Montana,916700,5400,30100,11000
Nebraska,1464600,87700,213300,38200
Nevada,1442400,245000,802800,237900
New Hampshire,1174800,17200,38400,33700
New Jersey,5049300,1189100,1626400,940900
New Mexico,773500,39600,902900,28100
New York,11468200,2764800,3522300,1585400
North Carolina,6153900,2095200,1055000,221600
North Dakota,650800,19200,22900,12900
Ohio,8994000,1413200,463500,250700
Oklahoma,2522100,284300,458900,73600
Oregon,3002300,78800,601800,145900
Pennsylvania,9548300,1304200,1027000,464300
Rhode Island,750700,78000,152400,40200
South Carolina,3089600,1283200,263300,83900
South Dakota,701900,13500,30000,N/A
Tennessee,4810900,1094600,413100,152600
Texas,12197100,3198600,10175800,1366000
Utah,2427000,34300,401300,50200
Vermont,575500,7800,7900,7300
Virginia,5129700,1582500,819700,476500
Washington,4975400,248200,954000,549500
West Virginia,1668700,55400,22900,N/A
Wisconsin,4477600,348800,577300,161900
Wyoming,489100,7500,54300,3100
